Temperature,Rainfall,Altitude,Soil_type,Soil_pH,label
26.6,539,961,Sandy,6.3,Millet
16.9,1197,1850,Fertile,6.3,Beans
14.8,416,1847,Fertile,6.4,Onion
9.5,951,2445,Clay,6.3,Kale
18.8,949,1199,Fertile,6.1,Maize
36.2,474,151,Sandy,5.6,Sorghum
33.7,355,272,Sandy,6.1,Cowpea
37.4,214,282,Sandy,6.8,Green Gram
21.0,731,915,Sandy-Loam,7.0,Tomato
40.7,407,452,Sandy,6.2,Sorghum
16.0,521,1656,Loamy,6.7,Onion
30.1,843,534,Sandy-Loam,5.5,Groundnut
15.2,1435,1980,Loamy,6.7,Beans
30.7,426,806,Sandy,5.9,Millet
28.7,618,339,Sandy-Loam,5.7,Groundnut
29.7,162,82,Sandy-Loam,6.0,Cowpea
16.4,272,1591,Sandy,7.1,Onion
23.6,1016,1915,Sandy,6.1,Soybean
15.2,1215,2250,Sandy,6.4,Beans
16.9,1272,1811,Loamy,6.3,Beans
28.0,980,272,Sandy-Loam,6.3,Groundnut
21.2,1186,1053,Loamy,6.1,Maize
9.8,1269,2151,Fertile,6.7,Kale
21.8,796,1443,Loamy,6.4,Soybean
13.9,803,2076,Fertile,6.3,Carrot
30.2,304,97,Sandy,6.3,Cowpea
13.3,233,2081,Sandy-Loam,6.6,Onion
37.2,326,269,Sandy-Loam,6.1,Green Gram
38.3,125,63,Sandy,6.9,Green Gram
19.9,1169,1823,Clay,6.4,Soybean
38.9,374,212,Sandy,6.5,Green Gram
9.3,1395,2240,Clay,6.2,Irish Potato
12.8,1714,2466,Loamy,6.4,Beans
35.8,191,539,Clay,5.8,Sorghum
33.9,678,704,Sandy,5.8,Millet
8.9,1368,2796,Clay,5.6,Irish Potato
11.7,1214,2534,Fertile,6.4,Kale
14.8,539,1713,Loamy,6.8,Onion
9.9,1104,2273,Loamy,5.7,Irish Potato
11.6,384,1652,Sandy,6.3,Onion
41.5,330,289,Sandy-Loam,6.2,Green Gram
26.5,711,969,Sandy-Loam,6.5,Millet
27.5,593,908,Sandy-Loam,6.3,Millet
12.2,1690,1760,Sandy-Loam,7.0,Beans
35.5,281,321,Sandy,6.1,Green Gram
38.0,413,439,Sandy-Loam,6.1,Sorghum
36.3,325,424,Loamy,6.3,Cowpea
39.3,346,112,Fertile,5.6,Sorghum
20.3,1361,1670,Loamy,5.9,Maize
37.5,221,238,Sandy,6.1,Green Gram
7.6,1035,2743,Sandy,5.5,Irish Potato
9.4,1335,1980,Sandy-Loam,6.1,Kale
6.2,1039,2277,Loamy,5.6,Irish Potato
23.3,1155,1170,Loamy,6.1,Maize
11.0,1241,2597,Loamy,6.7,Kale
7.7,913,2619,Fertile,6.9,Carrot
21.7,976,1004,Fertile,5.8,Maize
37.4,178,426,Sandy,5.7,Sorghum
36.0,175,158,Clay,5.5,Sorghum
11.6,1208,2351,Loamy,6.7,Beans
8.7,699,2177,Loamy,6.6,Carrot
12.4,1401,2390,Loamy,6.3,Beans
19.1,1081,1748,Clay,6.6,Maize
29.5,546,877,Loamy,5.8,Millet
7.1,1016,2142,Loamy,6.3,Irish Potato
23.4,931,1779,Fertile,6.0,Maize
22.4,785,1792,Sandy-Loam,6.2,Soybean
38.5,354,178,Clay,7.1,Green Gram
14.3,1241,2214,Loamy,6.5,Kale
23.8,875,603,Sandy,6.3,Groundnut
24.0,509,483,Loamy,6.1,Tomato
26.5,732,87,Sandy-Loam,5.8,Groundnut
14.2,515,2047,Sandy-Loam,6.7,Onion
24.8,835,871,Sandy,6.6,Tomato
25.0,746,676,Sandy,5.8,Groundnut
6.7,1386,2493,Fertile,6.0,Irish Potato
34.3,201,318,Sandy-Loam,6.1,Cowpea
11.6,1224,2707,Clay,5.7,Irish Potato
17.4,491,1573,Clay,6.2,Onion
14.7,408,1624,Fertile,6.7,Onion
16.7,213,2003,Sandy,6.6,Onion
27.6,833,478,Loamy,6.2,Tomato
22.7,1201,1343,Loamy,6.3,Maize
38.8,175,218,Sandy,6.9,Green Gram
10.0,630,2441,Loamy,6.6,Carrot
12.3,1069,1977,Sandy-Loam,6.8,Beans
12.8,958,2045,Sandy-Loam,6.4,Kale
15.2,1703,2211,Loamy,7.0,Beans
30.6,234,124,Sandy,6.1,Cowpea
10.2,864,2842,Fertile,6.8,Carrot
34.8,329,542,Clay,6.3,Sorghum
41.0,268,308,Sandy-Loam,6.2,Green Gram
29.3,427,921,Loamy,5.6,Millet
22.9,752,605,Fertile,6.0,Tomato
31.5,297,131,Clay,5.6,Cowpea
30.6,957,80,Sandy-Loam,5.9,Groundnut
9.1,799,2477,Sandy-Loam,6.1,Carrot
7.6,1375,2831,Clay,5.6,Irish Potato
9.5,852,2599,Sandy-Loam,6.5,Kale
35.2,334,109,Sandy,7.1,Green Gram
30.5,963,526,Sandy-Loam,6.4,Groundnut
12.6,657,2775,Sandy,6.1,Carrot
14.5,543,1423,Sandy-Loam,6.8,Onion
13.2,810,2482,Sandy-Loam,6.3,Carrot
34.8,324,247,Sandy,7.1,Green Gram
20.9,907,1895,Sandy-Loam,6.6,Soybean
7.5,1283,2501,Clay,6.0,Irish Potato
11.2,880,2934,Sandy-Loam,7.0,Carrot
13.1,781,2388,Fertile,6.5,Carrot
27.2,608,1042,Sandy,6.3,Millet
36.3,263,215,Sandy-Loam,5.9,Cowpea
11.6,1319,2313,Fertile,6.4,Kale
11.3,1091,2643,Fertile,6.0,Irish Potato
12.3,757,2154,Fertile,6.9,Carrot
30.8,734,869,Sandy-Loam,6.0,Millet
34.3,250,116,Sandy-Loam,6.9,Green Gram
29.2,952,439,Clay,5.9,Groundnut
34.7,240,304,Sandy,6.1,Sorghum
23.6,953,332,Sandy-Loam,6.1,Groundnut
10.8,1060,2286,Loamy,6.0,Irish Potato
6.4,1046,2996,Loamy,5.6,Irish Potato
25.5,676,1086,Loamy,6.8,Tomato
31.8,198,205,Sandy-Loam,5.8,Cowpea
13.7,1255,2035,Loamy,6.5,Kale
11.7,734,2361,Fertile,6.5,Carrot
21.6,615,564,Fertile,6.2,Tomato
31.5,320,117,Sandy,5.7,Cowpea
23.6,1062,1490,Sandy-Loam,6.5,Maize
28.6,846,507,Loamy,5.9,Groundnut
41.2,193,232,Sandy,6.7,Green Gram
12.4,1306,1832,Sandy-Loam,6.0,Kale
18.6,1333,1067,Loamy,6.2,Maize
24.6,879,1034,Sandy-Loam,6.4,Maize
11.4,1499,2471,Sandy-Loam,6.4,Beans
23.2,712,718,Sandy,5.6,Groundnut
19.4,1169,1407,Clay,6.0,Maize
29.5,242,138,Clay,5.5,Cowpea
6.9,1177,2751,Fertile,5.7,Irish Potato
17.5,453,1782,Sandy,6.2,Onion
16.5,276,1857,Fertile,6.8,Onion
11.9,871,1817,Sandy-Loam,6.6,Kale
14.6,1328,2228,Clay,6.2,Kale
29.8,709,635,Sandy-Loam,6.4,Millet
19.1,764,1996,Clay,6.3,Soybean
24.8,654,322,Sandy-Loam,6.0,Groundnut
10.3,574,2512,Fertile,6.2,Carrot
15.7,896,2254,Clay,6.3,Kale
30.7,477,787,Sandy,5.5,Millet
11.3,1014,2313,Loamy,6.0,Irish Potato
13.4,1091,1913,Sandy-Loam,6.4,Beans
20.8,841,1638,Sandy-Loam,6.3,Soybean
18.4,1145,973,Loamy,6.7,Maize
11.6,798,2302,Fertile,6.5,Carrot
11.7,889,2428,Fertile,6.2,Kale
37.5,289,145,Sandy,5.7,Sorghum
22.3,1112,1149,Sandy,6.1,Maize
15.7,1087,2039,Loamy,6.3,Kale
40.7,468,419,Clay,6.3,Sorghum
20.1,1228,1287,Sandy-Loam,6.1,Maize
30.7,443,1058,Sandy,5.8,Millet
37.4,339,283,Sandy,6.6,Green Gram
35.0,384,86,Sandy,6.2,Sorghum
34.7,321,113,Sandy-Loam,5.9,Cowpea
38.4,181,240,Sandy,6.9,Green Gram
10.1,734,2814,Clay,6.4,Carrot
19.8,962,1873,Fertile,6.7,Soybean
13.5,1649,2193,Fertile,6.8,Beans
15.3,1230,2424,Clay,6.2,Kale
19.5,1019,1585,Sandy,6.5,Soybean
28.8,531,816,Fertile,5.8,Millet
6.1,1257,2758,Loamy,5.7,Irish Potato
11.2,1502,2277,Clay,6.3,Beans
11.1,623,2312,Sandy-Loam,6.0,Carrot
29.1,684,1064,Sandy,5.9,Millet
25.9,653,737,Sandy-Loam,6.0,Tomato
26.8,453,722,Fertile,6.7,Tomato
40.7,243,345,Sandy,6.8,Green Gram
24.5,1255,1227,Fertile,6.1,Maize
35.8,254,70,Sandy,6.1,Sorghum
34.2,267,42,Sandy,6.9,Green Gram
30.3,445,995,Sandy,5.7,Millet
10.3,1240,2242,Sandy-Loam,5.9,Kale
42.0,446,44,Clay,6.4,Sorghum
33.8,310,412,Sandy,6.3,Cowpea
22.0,1123,1333,Fertile,6.1,Maize
33.5,398,183,Loamy,5.9,Cowpea
33.0,698,805,Sandy-Loam,6.1,Millet
32.4,424,398,Clay,5.9,Cowpea
41.1,203,14,Sandy,7.1,Green Gram
13.5,1314,1851,Fertile,6.1,Kale
40.4,241,264,Sandy-Loam,6.1,Sorghum
32.5,352,1094,Sandy-Loam,6.0,Millet
23.4,1141,1200,Loamy,6.0,Maize
30.4,310,492,Sandy-Loam,6.2,Cowpea
12.7,598,2494,Loamy,6.3,Carrot
23.6,692,953,Sandy-Loam,6.9,Tomato
14.5,1345,2235,Fertile,5.9,Kale
33.9,612,779,Sandy,6.3,Millet
10.9,837,2178,Fertile,7.0,Carrot
29.6,672,513,Sandy-Loam,6.2,Millet
7.3,1285,2206,Loamy,6.1,Irish Potato
16.2,503,1819,Clay,6.3,Onion
37.7,231,315,Sandy-Loam,6.3,Green Gram
5.6,1393,2474,Sandy-Loam,6.2,Irish Potato
8.7,579,2119,Clay,6.3,Carrot
10.7,1328,1957,Fertile,6.8,Kale
20.0,1211,971,Clay,6.7,Maize
30.1,674,987,Clay,6.0,Millet
23.5,1419,982,Loamy,6.8,Maize
11.1,1663,1782,Fertile,7.2,Beans
14.3,869,2418,Loamy,6.5,Kale
25.0,563,702,Loamy,6.7,Tomato
37.8,345,17,Sandy,6.7,Green Gram
7.6,1332,2573,Fertile,5.6,Irish Potato
13.0,774,2473,Loamy,6.9,Carrot
12.1,1596,2230,Fertile,7.0,Beans
9.6,722,2389,Clay,6.9,Carrot
8.0,1309,2960,Loamy,5.9,Irish Potato
25.7,937,1820,Fertile,7.0,Soybean
18.1,1191,1681,Sandy,6.5,Maize
27.3,815,217,Sandy,5.7,Groundnut
19.3,1035,1573,Sandy-Loam,6.8,Soybean
10.2,743,2115,Fertile,6.8,Carrot
12.3,1284,1972,Fertile,6.4,Kale
15.8,1761,1864,Sandy-Loam,6.8,Beans
23.6,626,472,Fertile,6.2,Tomato
9.3,619,2662,Fertile,6.1,Carrot
24.8,617,745,Loamy,6.5,Tomato
16.1,343,1821,Clay,6.9,Onion
14.5,1598,2516,Loamy,7.1,Beans
32.4,432,635,Loamy,5.6,Millet
21.9,1177,1124,Sandy-Loam,6.7,Maize
27.6,613,929,Sandy,6.6,Tomato
22.1,782,1672,Fertile,6.4,Soybean
13.9,364,1386,Loamy,7.0,Onion
5.3,1327,2803,Clay,5.6,Irish Potato
40.2,286,30,Loamy,6.0,Green Gram
20.1,1058,1288,Fertile,6.3,Maize
16.0,1253,2475,Loamy,6.4,Kale
36.2,286,169,Clay,6.4,Green Gram
11.6,318,1417,Fertile,7.0,Onion
6.7,1236,2861,Loamy,6.1,Irish Potato
14.4,224,1558,Sandy-Loam,7.1,Onion
34.3,254,76,Sandy,6.8,Green Gram
26.1,394,567,Sandy-Loam,6.5,Millet
25.4,802,457,Sandy-Loam,6.3,Groundnut
16.1,529,2011,Sandy,7.0,Onion
12.0,824,1932,Sandy,6.0,Kale
5.2,918,2922,Sandy-Loam,5.6,Irish Potato
9.1,881,2231,Fertile,6.1,Carrot
40.5,219,170,Clay,6.5,Green Gram
8.1,726,2565,Loamy,6.9,Carrot
14.0,573,2645,Fertile,6.2,Carrot
26.8,626,414,Loamy,6.5,Tomato
15.1,955,2560,Clay,6.2,Kale
6.6,1126,2240,Loamy,5.9,Irish Potato
6.3,1004,2470,Clay,6.0,Irish Potato
16.8,1347,1875,Fertile,6.6,Beans
17.5,1665,2203,Clay,7.1,Beans
31.1,256,197,Sandy-Loam,5.8,Cowpea
19.0,1398,1201,Fertile,6.3,Maize
28.6,525,615,Fertile,6.3,Millet
39.3,278,250,Sandy,6.1,Green Gram
14.4,1790,2353,Loamy,6.7,Beans
39.6,478,578,Sandy,6.0,Sorghum
28.0,437,495,Sandy,6.1,Millet
17.5,407,1634,Sandy,6.8,Onion
40.8,319,138,Sandy,6.2,Green Gram
27.1,647,693,Sandy-Loam,6.4,Groundnut
19.2,917,1504,Sandy,6.9,Soybean
15.0,460,1634,Sandy-Loam,6.7,Onion
24.7,949,414,Sandy-Loam,5.7,Groundnut
15.4,1346,1835,Fertile,6.2,Kale
21.1,1420,1382,Sandy-Loam,6.6,Maize
35.6,216,182,Sandy,6.0,Cowpea
11.3,341,1836,Clay,6.8,Onion
6.6,1235,2119,Loamy,6.1,Irish Potato
41.0,264,277,Clay,6.0,Sorghum
12.9,1755,1849,Fertile,7.2,Beans
40.0,160,480,Sandy,6.4,Sorghum
13.8,1088,2071,Clay,6.7,Beans
13.5,1321,2394,Loamy,6.4,Beans
17.6,382,1857,Clay,6.3,Onion
24.9,1216,1233,Fertile,6.0,Maize
27.0,527,478,Fertile,6.3,Tomato
21.9,909,1685,Sandy-Loam,6.5,Soybean
33.1,425,88,Sandy,6.0,Sorghum
5.7,1351,2605,Fertile,5.8,Irish Potato
41.0,285,278,Sandy-Loam,5.7,Sorghum
28.3,705,1016,Sandy,6.1,Millet
23.7,698,56,Sandy,5.8,Groundnut
40.9,160,184,Sandy,6.5,Green Gram
24.6,551,582,Loamy,6.1,Tomato
33.5,671,698,Sandy,6.4,Millet
27.6,913,743,Sandy,5.8,Groundnut
6.2,1226,2338,Loamy,5.7,Irish Potato
25.7,1136,1559,Loamy,6.2,Soybean
11.4,1148,2234,Fertile,6.2,Beans
24.3,1011,1637,Fertile,6.0,Maize
25.0,912,627,Sandy-Loam,5.5,Groundnut
19.1,1150,1571,Fertile,6.8,Soybean
20.4,1189,918,Loamy,6.2,Maize
21.3,1040,1996,Clay,6.9,Soybean
9.0,876,2811,Fertile,6.9,Carrot
7.2,575,2856,Loamy,6.5,Carrot
29.8,371,481,Sandy-Loam,6.0,Cowpea
21.9,874,1193,Sandy-Loam,5.9,Maize
23.7,1376,1118,Sandy,6.0,Maize
25.4,986,1907,Sandy-Loam,6.6,Soybean
17.9,1782,2385,Clay,6.8,Beans
27.4,598,417,Sandy-Loam,6.5,Millet
30.1,708,260,Loamy,6.2,Groundnut
34.7,306,56,Sandy-Loam,5.8,Cowpea
41.1,361,90,Sandy,6.0,Green Gram
10.8,805,2378,Clay,6.6,Kale
21.4,754,412,Clay,6.4,Tomato
11.4,1192,1781,Sandy-Loam,7.0,Beans
11.9,1061,2909,Sandy-Loam,6.0,Irish Potato
34.1,176,134,Sandy-Loam,6.0,Sorghum
17.5,231,1733,Fertile,7.1,Onion
24.0,733,599,Sandy-Loam,6.3,Tomato
7.8,910,2016,Clay,6.1,Carrot
11.8,1284,2391,Fertile,6.3,Beans
13.9,1050,2334,Fertile,6.0,Kale
15.5,925,2307,Loamy,6.1,Kale
13.8,1295,1758,Fertile,7.0,Beans
27.2,603,287,Sandy,5.9,Groundnut
6.8,1197,2151,Clay,6.0,Irish Potato
20.4,761,602,Fertile,6.7,Tomato
20.2,751,1715,Sandy-Loam,6.6,Soybean
36.3,174,144,Sandy-Loam,6.0,Green Gram
30.9,621,645,Sandy-Loam,6.2,Millet
27.4,841,408,Clay,6.4,Tomato
28.5,579,750,Sandy-Loam,6.0,Millet
26.8,801,631,Sandy-Loam,5.8,Groundnut
36.1,258,300,Sandy,5.7,Cowpea
11.9,1319,2224,Fertile,6.2,Irish Potato
40.6,122,11,Sandy,6.9,Green Gram
12.0,336,2063,Sandy-Loam,7.1,Onion
36.4,167,219,Sandy-Loam,6.1,Green Gram
24.6,981,1193,Fertile,6.2,Maize
30.5,794,454,Sandy-Loam,6.0,Groundnut
40.7,128,101,Sandy,6.1,Green Gram
28.8,975,349,Sandy-Loam,6.3,Groundnut
13.4,482,1534,Loamy,6.3,Onion
34.0,195,427,Sandy,5.9,Cowpea
33.4,373,307,Sandy-Loam,5.9,Sorghum
21.7,451,593,Sandy,6.4,Tomato
24.1,919,545,Loamy,6.3,Groundnut
7.7,1380,3005,Loamy,5.6,Irish Potato
11.6,1376,3014,Sandy-Loam,5.5,Irish Potato
24.9,485,713,Fertile,6.7,Tomato
10.1,1170,1943,Fertile,6.0,Kale
33.7,335,39,Sandy,5.6,Sorghum
41.2,248,666,Sandy-Loam,5.6,Sorghum
14.5,229,1815,Sandy-Loam,7.1,Onion
17.3,1197,1049,Fertile,6.0,Maize
39.7,415,523,Clay,5.9,Sorghum
12.1,929,2363,Fertile,6.3,Kale
11.1,1546,2231,Loamy,6.4,Beans
30.2,1039,726,Sandy-Loam,6.2,Groundnut
38.6,240,234,Sandy,6.9,Green Gram
26.0,968,324,Sandy,6.0,Groundnut
18.9,944,1515,Sandy,6.6,Maize
36.2,323,431,Sandy,6.2,Sorghum
36.4,151,149,Loamy,6.3,Green Gram
14.0,1612,2480,Sandy,6.4,Beans
20.9,859,2094,Loamy,6.6,Soybean
22.5,506,571,Loamy,6.7,Tomato
13.3,382,1789,Loamy,7.0,Onion
21.9,1152,1513,Fertile,6.1,Soybean
35.0,328,278,Sandy,6.0,Sorghum
32.9,396,882,Sandy-Loam,5.7,Millet
34.5,363,209,Sandy,6.6,Green Gram
30.7,352,411,Sandy-Loam,6.2,Cowpea
40.8,173,616,Sandy,5.9,Sorghum
33.8,523,505,Sandy-Loam,6.2,Millet
34.7,311,195,Fertile,6.2,Green Gram
11.3,1181,2416,Fertile,6.0,Kale
28.0,704,50,Sandy,6.4,Groundnut
36.6,298,83,Sandy,7.1,Green Gram
22.2,742,593,Loamy,6.5,Tomato
25.6,949,1819,Sandy-Loam,6.9,Soybean
30.6,600,436,Sandy-Loam,5.6,Millet
13.0,1266,2051,Sandy-Loam,6.7,Beans
40.5,199,209,Clay,6.4,Green Gram
26.4,508,659,Sandy-Loam,6.4,Millet
